County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update
Philadelphia,Pennsylvania,34,0,0,0%,39.95222,-75.16218,2020-03-19 10:44 EDT
Delaware,Pennsylvania,14,0,0,0%,39.9167251,-75.39898556,2020-03-19 10:44 EDT
Bucks,Pennsylvania,12,0,0,0%,40.33694044,-75.10679406,2020-03-19 10:44 EDT
Allegheny,Pennsylvania,12,0,0,0%,40.45082,-80.01615,2020-03-19 10:44 EDT
Cumberland,Pennsylvania,10,0,0,0%,40.16367663,-77.26538073,2020-03-19 10:44 EDT
Chester,Pennsylvania,9,0,0,0%,39.97320372,-75.74845154,2020-03-19 10:44 EDT
Monroe,Pennsylvania,8,0,0,0%,41.05811592,-75.33939791,2020-03-19 10:44 EDT
Pike,Pennsylvania,2,0,0,0%,41.33202501,-75.03382353,2020-03-19 10:44 EDT
Washington,Pennsylvania,2,0,0,0%,40.16752,-80.24648,2020-03-19 10:44 EDT
Beaver,Pennsylvania,2,0,0,0%,40.69640000000004,-80.30195999999995,2020-03-19 10:44 EDT
York,Pennsylvania,2,0,0,0%,39.919932023000065,-76.72645286699999,2020-03-19 10:44 EDT
Wayne,Pennsylvania,1,0,0,0%,41.64878798,-75.30324861,2020-03-19 10:44 EDT
Northampton,Pennsylvania,1,0,1,100%,40.6836,-75.49108000000003,2020-03-19 10:44 EDT
Lehigh,Pennsylvania,1,0,0,0%,40.61265671,-75.59232058,2020-03-19 10:44 EDT
Luzerne,Pennsylvania,1,0,0,0%,41.28669,-75.90272,2020-03-19 10:44 EDT
Lancaster,Pennsylvania,1,0,0,0%,40.04236245000004,-76.24767324799996,2020-03-19 10:44 EDT
